time	gFx	gFy	gFz	TgF
0.823496354	0,0431	0,1212	1,0135	1,022
0.826278281	0,0463	0,1205	1,0101	1,018
0.831007083	0,0504	0,1205	1,0081	1,017
0.831424114	0,0526	0,1227	1,0072	1,016
0.834056302	0,0566	0,1225	1,005	1,014
0.836677656	0,0602	0,1151	1,0025	1,011
0.838676562	0,0548	0,1173	1,0013	1,01
0.84147026	0,0541	0,1203	0,9981	1,007
0.846011771	0,0502	0,1198	0,9898	0,998
0.846733073	0,0465	0,1212	0,9857	0,994
0.848337552	0,0439	0,1266	0,9805	0,99
0.851122969	0,0392	0,133	0,9791	0,989
0.853114427	0,0373	0,1356	0,9798	0,99
0.855362917	0,0341	0,1435	0,9798	0,991
0.858418333	0,0343	0,1435	0,9847	0,996
0.861165625	0,0329	0,1427	0,9866	0,997
0.862679687	0,0316	0,1439	0,9849	0,996
0.86489125	0,0321	0,142	0,984	0,995
0.868285156	0,036	0,1422	0,9906	1,001
0.869990312	0,0373	0,1432	0,9954	1,006
0.873255208	0,0409	0,1427	0,9942	1,005
0.8748425	0,046	0,1457	1,0011	1,013
0.877074687	0,0529	0,1427	1,0047	1,016
0.879830104	0,0578	0,1442	1,0101	1,022
0.883150677	0,0614	0,1471	1,0123	1,025
0.884588385	0,0592	0,151	1,0182	1,031
0.887294739	0,0607	0,152	1,0235	1,037
0.88964151	0,0583	0,1525	1,0238	1,037
0.891884062	0,0548	0,1549	1,027	1,04
0.894166146	0,0495	0,1559	1,0255	1,038
0.896173125	0,0465	0,153	1,0272	1,04
0.899350833	0,0434	0,1498	1,0284	1,04
0.90126276	0,0426	0,1461	1,0279	1,039
0.903630052	0,0448	0,1454	1,0282	1,039
0.906112708	0,0412	0,1466	1,0245	1,036
0.908750156	0,0439	0,1486	1,0221	1,034
0.912136198	0,0434	0,1491	1,0194	1,031
0.913069791	0,0434	0,1493	1,0187	1,03
0.916291302	0,0465	0,1496	1,0125	1,025
0.918140885	0,0497	0,1479	1,0106	1,023
0.920739635	0,0526	0,1442	1,0116	1,023
0.922823906	0,0512	0,1427	1,0106	1,022
0.925308489	0,0514	0,1418	1,0077	1,019
0.92768151	0,0517	0,1415	1,0038	1,015
0.930407239	0,0502	0,1444	0,9989	1,011
0.932829896	0,0482	0,1413	0,9959	1,007
0.935090208	0,0446	0,1432	0,9945	1,006
0.937453021	0,0414	0,141	0,9974	1,008
0.939809219	0,0456	0,1381	0,9991	1,01
0.942184271	0,0485	0,1378	0,9981	1,009
0.944960521	0,0458	0,1418	1,0013	1,012
0.946460781	0,048	0,1342	0,9954	1,006
0.950415208	0,0482	0,1276	0,9898	0,999
0.951571146	0,0453	0,1334	0,9945	1,004
0.954609427	0,0492	0,141	1,0042	1,015
0.956789219	0,0539	0,1464	1,0103	1,022
0.960527708	0,0553	0,151	1,0101	1,023
0.9615925	0,0519	0,1564	1,0079	1,021
0.964217396	0,0485	0,1571	1,0055	1,019
0.967321771	0,0441	0,1567	1,0055	1,019
0.968550521	0,0443	0,1557	1,004	1,017
0.971919531	0,0412	0,1571	1,0047	1,018
0.974360469	0,0392	0,1567	1,0016	1,014
0.976942031	0,0363	0,1554	0,9994	1,012
0.977729219	0,0375	0,1571	0,9991	1,012
0.980941458	0,0346	0,1557	0,9998	1,012
0.983980729	0,0336	0,1596	1,0018	1,015
0.986297031	0,0311	0,1574	1,002	1,015
0.987721146	0,0314	0,1601	1,0013	1,015
0.990347708	0,0321	0,1608	1,0001	1,013
0.993966406	0,0311	0,1645	0,9954	1,009
0.994392031	0,0348	0,1637	0,9932	1,007
0.99774401	0,039	0,165	0,9957	1,01
1.000133646	0,0424	0,1652	0,9991	1,014
1.002304219	0,046	0,1642	1,0011	1,015
1.004817083	0,0473	0,1642	1,003	1,017
1.007276979	0,0495	0,1689	1,0033	1,019
1.010600052	0,047	0,1698	1,0023	1,018
1.012453541	0,0465	0,1725	0,9984	1,014
1.014966979	0,0448	0,1725	0,995	1,011
1.016773333	0,0456	0,1694	0,9952	1,011
1.019297812	0,0436	0,1706	0,9972	1,013
1.021512448	0,0431	0,1669	1,0013	1,016
1.024180312	0,0431	0,1662	1,0001	1,015
1.027361458	0,0421	0,1667	1,0047	1,019
1.028633594	0,0414	0,1664	1,0064	1,021
1.031418385	0,0421	0,1667	1,0038	1,018
1.03430125	0,0419	0,1669	1,005	1,02
1.036428958	0,0419	0,1691	1,005	1,02
1.038584114	0,0419	0,1674	1,0103	1,025
1.04088151	0,0446	0,1667	1,015	1,03
1.043477344	0,0463	0,1615	1,0145	1,028
1.045297969	0,0478	0,1615	1,0145	1,028
1.048112135	0,0463	0,1613	1,0133	1,027
1.050500885	0,047	0,1654	1,0111	1,026
1.052864375	0,0443	0,1686	1,0077	1,023
1.055306094	0,0431	0,1679	1,0052	1,02
1.058803958	0,0431	0,1696	1,0018	1,017
1.061783385	0,0404	0,1696	1,0033	1,018
1.062534166	0,039	0,1711	1,004	1,019
1.064875677	0,0392	0,1725	1,0038	1,019
1.067524739	0,0375	0,1723	1,0023	1,018
1.069612656	0,039	0,174	0,9954	1,011
1.072207187	0,0353	0,1747	0,992	1,008
1.074450469	0,038	0,1752	0,9906	1,007
1.07721	0,039	0,175	0,9886	1,005
1.078802708	0,0424	0,1747	0,992	1,008
1.082165156	0,0436	0,1745	0,993	1,009
1.083269531	0,0426	0,1782	0,9959	1,013
1.08664651	0,0426	0,1794	0,9945	1,011
1.089434427	0,0404	0,1811	0,9893	1,007
1.092161354	0,0397	0,1867	0,9881	1,006
1.09415151	0,038	0,1879	0,9849	1,003
1.09583651	0,036	0,1874	0,9854	1,004
1.098750416	0,036	0,1899	0,9825	1,001
1.101221562	0,0343	0,1904	0,9849	1,004
1.103291718	0,0324	0,1894	0,9859	1,004
1.10572401	0,0321	0,1913	0,9849	1,004
1.111835416	0,0302	0,1899	0,9827	1,001
1.112596562	0,0321	0,1896	0,983	1,002
1.11399401	0,0341	0,1909	0,983	1,002
1.114963125	0,0351	0,1918	0,9798	0,999
1.11855125	0,0392	0,1926	0,9805	1
1.120843229	0,0419	0,1928	0,9832	1,003
1.123338802	0,0439	0,1916	0,9854	1,005
1.127646458	0,0458	0,1945	0,9925	1,012
1.128411927	0,0456	0,1943	0,9945	1,014
1.129845677	0,048	0,1931	0,9972	1,017
1.132269583	0,0456	0,197	0,9974	1,018
1.134503229	0,046	0,1996	1,0003	1,021
1.137022239	0,0456	0,1994	1,0011	1,022
1.139498646	0,0473	0,2009	1,0052	1,026
1.144790781	0,0434	0,2006	1,0074	1,028
1.145413646	0,038	0,1992	1,0069	1,027
1.146638125	0,0417	0,1967	1,0045	1,024
1.149659062	0,0409	0,1953	1,0038	1,023
1.15052875	0,0409	0,1938	1,0006	1,02
1.154077187	0,0407	0,1926	0,9996	1,019
1.161047135	0,0385	0,1945	1,0011	1,021
1.16212651	0,0395	0,1987	1,002	1,022
1.163069323	0,0382	0,2006	0,9998	1,02
1.163279687	0,0387	0,2011	0,9981	1,019
1.166304271	0,0414	0,2036	0,9976	1,019
1.168145416	0,0419	0,2077	0,9959	1,018
1.17155401	0,0392	0,2067	0,9928	1,015
1.173821198	0,037	0,1972	0,984	1,004
